gs_name,gene_symbol
Acinar cells.Pancreas,Ctrb1
Acinar cells.Pancreas,Klk1
Acinar cells.Pancreas,Rbpjl
Acinar cells.Pancreas,Ptf1a
Acinar cells.Pancreas,Try4
Acinar cells.Pancreas,Cela3a
Acinar cells.Pancreas,Prss1
Acinar cells.Pancreas,Amy2a2
Acinar cells.Pancreas,Spink1
Acinar cells.Pancreas,Zg16
Acinar cells.Pancreas,Cel
Acinar cells.Pancreas,Cela2a
Acinar cells.Pancreas,Amy2a3
Acinar cells.Pancreas,Cpb1
Acinar cells.Pancreas,Cela1
Acinar cells.Pancreas,Amy2a5
Acinar cells.Pancreas,Rnase1
Acinar cells.Pancreas,Amy2b
Acinar cells.Pancreas,Cpa2
Acinar cells.Pancreas,Cpa1
Acinar cells.Pancreas,Cela3b
Acinar cells.Pancreas,Pnlip
Acinar cells.Pancreas,Pla2g1b
Acinar cells.Pancreas,Prss2
Acinar cells.Pancreas,Clps
Acinar cells.Pancreas,Sycn
Acinar cells.Pancreas,Pnliprp1
Acinar cells.Pancreas,Ctrc
Acinar cells.Pancreas,Reg3a
Acinar cells.Pancreas,Prss3
Acinar cells.Pancreas,Cfb
Acinar cells.Pancreas,Gdf15
Acinar cells.Pancreas,Muc1
Acinar cells.Pancreas,Duoxa2
Acinar cells.Pancreas,Olfm4
Acinar cells.Pancreas,Gsta1
Acinar cells.Pancreas,Lgals2
Acinar cells.Pancreas,Pdzk1ip1
Acinar cells.Pancreas,Rarres2
Acinar cells.Pancreas,Cxcl17
Acinar cells.Pancreas,Ubd
Acinar cells.Pancreas,Gsta2
Acinar cells.Pancreas,Anpep
Acinar cells.Pancreas,Angptl4
Acinar cells.Pancreas,Aldob
Adipocyte progenitor cells.Connective tissue,Cebpa
Adipocyte progenitor cells.Connective tissue,Egfr
Adipocyte progenitor cells.Connective tissue,Fgf10
Adipocyte progenitor cells.Connective tissue,Gsc
Adipocyte progenitor cells.Connective tissue,Mmp3
Adipocyte progenitor cells.Connective tissue,Pparg
Adipocyte progenitor cells.Connective tissue,Twist2
Adipocyte progenitor cells.Connective tissue,Gata3
Adipocyte progenitor cells.Connective tissue,Gli1
Adipocyte progenitor cells.Connective tissue,Smo
Adipocyte progenitor cells.Connective tissue,Stab1
Adipocyte progenitor cells.Connective tissue,Wisp2
Adipocyte progenitor cells.Connective tissue,Wt1
Adipocyte progenitor cells.Connective tissue,Scara5
Adipocyte progenitor cells.Connective tissue,Hoxc8
Adipocyte progenitor cells.Connective tissue,Tcf7l1
Adipocyte progenitor cells.Connective tissue,Hoxc9
Adipocyte progenitor cells.Connective tissue,Hoxc6
Adipocyte progenitor cells.Connective tissue,Hoxc4
Adipocyte progenitor cells.Connective tissue,Sult1e1
Adipocyte progenitor cells.Connective tissue,Ebf2
